ZipCode,Country,State,Place
01067,DE,Sachsen,Dresden
04571,DE,Sachsen,Rötha
08393,DE,Sachsen,Meerane
10117,DE,Berlin,Berlin
99998,DE,Thüringen,Weinbergen
