ZipCode,Country,State,Place
00210,US,New Hampshire,Portsmouth
02062,US,Massachusetts,Norwood
19144,US,Pennsylvania,Philadelphia
11412,US,New York,Saint Albans
99950,US,Alaska,Ketchikan
